id,mouse3.num,mouse3.neg.score,mouse3.neg.p.value,mouse3.neg.fdr,mouse3.neg.rank,mouse3.neg.goodsgrna,mouse3.neg.lfc,mouse4.noLmnb2_1.num,mouse4.noLmnb2_1.neg.score,mouse4.noLmnb2_1.neg.p.value,mouse4.noLmnb2_1.neg.fdr,mouse4.noLmnb2_1.neg.rank,mouse4.noLmnb2_1.neg.goodsgrna,mouse4.noLmnb2_1.neg.lfc,mouse7.num,mouse7.neg.score,mouse7.neg.p.value,mouse7.neg.fdr,mouse7.neg.rank,mouse7.neg.goodsgrna,mouse7.neg.lfc,mouse8.num,mouse8.neg.score,mouse8.neg.p.value,mouse8.neg.fdr,mouse8.neg.rank,mouse8.neg.goodsgrna,mouse8.neg.lfc,mean.sgrnas,median.lfc.all,p.wilcox,p.wilcox.bh
Ier5,5,0.68259,0.56493,0.955823,7455,0,0.012164,5,0.45195,0.41865,0.950762,5402,0,0.06822,5,0.79697,0.70329,0.963396,9613,0,-0.12661,5,0.7582,0.63422,0.930684,8865,0,0.073377,5,0.040192,0.904274919,0.971703382
Bgn,5,0.81252,0.69989,0.955823,9638,0,-0.042243,5,0.54755,0.49796,0.950762,6650,0,0.29384,5,0.97568,0.94989,0.988117,12698,0,0.12255,5,0.72182,0.59576,0.930684,8288,0,-0.092838,5,0.0401535,0.471058647,0.770303653
Gk,5,0.50794,0.4242,0.955823,4779,0,0.21244,5,0.80186,0.74611,0.959295,10236,0,-0.22375,5,0.56789,0.47667,0.962198,5986,0,-0.05093,5,0.83084,0.71584,0.93447,10094,0,0.13114,5,0.040105,0.72217027,0.907045535
Plekha6,5,0.41109,0.3484,0.955823,3410,0,-0.039005,5,0.25131,0.25116,0.950762,3201,1,-0.25777,5,0.27096,0.25634,0.962198,2106,1,0.28798,5,0.72269,0.5982,0.930684,8298,0,0.1192,5,0.0400975,0.674142673,0.886270187
Papd4,5,0.56736,0.46667,0.955823,5680,0,0.0029094,5,0.69891,0.64181,0.950762,8734,0,0.40388,5,0.25933,0.24466,0.962198,2006,1,-0.21609,5,0.55056,0.43911,0.930684,5621,0,0.077277,5,0.0400932,0.593220033,0.845865292
Aldh3b1,5,0.48895,0.40863,0.955823,4516,0,0.03988,5,0.67908,0.62293,0.950762,8453,0,0.19603,5,0.53074,0.44654,0.962198,5450,0,0.040287,5,0.80372,0.68276,0.933968,9636,0,0.0049772,5,0.0400835,0.356198643,0.689075903
Ccng1,5,0.59882,0.49376,0.955823,6134,0,0.028924,5,0.91732,0.87764,0.970202,11920,0,0.11929,5,0.69295,0.59673,0.962198,7911,0,0.014592,5,0.10884,0.13715,0.930684,1176,1,0.051205,5,0.0400645,0.457868432,0.761213326
Itga8,5,0.45255,0.37971,0.955823,3990,0,0.048428,5,0.33443,0.31558,0.950762,3993,1,-0.073482,5,0.81089,0.71898,0.963396,9830,0,0.031641,5,0.94819,0.89032,0.96427,12194,0,0.070463,5,0.0400345,0.797179565,0.935010007
Tcim,5,0.68651,0.56839,0.955823,7512,0,0.09474,5,0.27608,0.26784,0.950762,3424,1,-0.049383,5,0.81991,0.72944,0.963396,9988,0,-0.014692,5,0.82904,0.71371,0.93447,10057,0,0.1442,5,0.040024,0.557486783,0.825545649
Cacna1g,5,0.78072,0.6629,0.955823,9075,0,-0.070521,5,0.79742,0.73979,0.959295,10170,0,0.037005,5,0.32939,0.29102,0.962198,2763,0,0.043014,5,0.52516,0.41627,0.930684,5261,0,0.15838,5,0.0400095,0.573228618,0.835581458
